id,preference_id,beach,nature,tourism,relax
1,1,false,true,true,false
2,2,false,true,true,false
3,3,false,true,true,false
4,4,true,false,false,true
5,5,false,true,true,false
6,6,false,false,true,false
7,7,false,false,true,false
8,8,false,true,true,false
9,9,false,true,true,false
10,10,true,false,false,true
11,11,true,false,true,false
12,12,false,false,true,true
13,13,false,false,true,false
14,14,false,false,true,false
15,15,true,false,true,true
16,16,false,false,true,false
17,17,false,true,true,false
18,18,false,false,true,false
19,19,false,true,true,false
20,20,false,false,true,false
21,21,false,false,true,false
22,22,false,false,true,false
23,23,false,false,true,false
24,24,false,false,true,false
25,25,false,false,true,false
26,26,false,false,true,false
27,27,false,true,true,false
28,28,false,false,true,false
29,29,false,false,true,false
30,30,false,false,true,false
31,31,false,false,true,true
32,32,false,false,true,true
33,33,false,false,true,true
34,34,false,true,false,false
35,35,false,false,true,false
36,36,false,false,true,true
37,37,false,false,true,true
38,38,false,false,true,true
39,39,false,true,true,false
40,40,false,true,true,false
41,41,false,true,true,false
42,42,true,true	true,false
43,43,false,true,true,false
44,44,false,true,true,false
45,45,false,true,true,true
46,46,false,true,true,false
47,47,false,true,true,false
48,48,false,true,true,false
49,49,false,false,true,false
50,50,false,true,true,false
51,51,false,true,true,true
